point_id,point_type,longitude,latitude,GEOID,tract_name,total_pop,median_age,pct_white,pct_black,pct_asian,pct_hispanic,median_income,poverty_rate,pct_college,pct_owner_occupied,median_home_value,median_rent,unemployment_rate,sky_ratio,green_view_index,building_ratio,road_ratio,vehicle_ratio,person_ratio,tree_ratio,grass_ratio,sidewalk_ratio,car_ratio,is_happy
46159,happy_point,-75.1509716999999,39.94687840000006,42101001001,Census Tract 10.01; Philadelphia County; Pennsylvania,2717.0,60.8,0.9260213470739787,0.009569377990430622,0.026499815973500183,0.03165255796834744,123935.0,0.054471843945528155,0.8558158319870759,0.6057282145033516,487600.0,1930.0,0.033946251768033946,0.0932882853916713,0.0067582811628069,0.4805859157017299,0.3119440078735351,0.0,0.0,0.0067582811628069,0.0,0.2786728995186942,0.0,1
46160,happy_point,-75.1892906999999,39.96397040000005,42101010900,Census Tract 109; Philadelphia County; Pennsylvania,2717.0,27.1,0.15826278984173722,0.7791682002208318,0.03496503496503497,0.02208317997791682,31341.0,0.3923444976076555,0.23809523809523808,0.24070631970260223,320500.0,1176.0,0.1706379707916987,0.3173638752528599,0.1283798217773437,0.1853256225585937,0.3005327497209821,0.0509778431483677,0.0017283303397042,0.0632532664707728,0.0,0.190183367047991,0.0509778431483677,1
46161,happy_point,-75.18332979999991,39.95266310000005,42101036902,Census Tract 369.02; Philadelphia County; Pennsylvania,6267.0,19.9,0.5439604276368278,0.13914153502473273,0.23105153981171214,0.05696505505026329,29464.0,0.12781235040689326,0.7492063492063492,0.0,-666666666.0,2630.0,0.11815437688658904,0.0,0.0,0.0,0.0485022408621651,0.0001253400530133,0.0005871909005301,0.0,0.0,0.0,0.0001253400530133,1
46162,happy_point,-75.1876049999999,39.96119760000004,42101009000,Census Tract 90; Philadelphia County; Pennsylvania,7375.0,20.0,0.6021694915254238,0.15932203389830507,0.18305084745762712,0.04271186440677966,37674.0,0.2334915254237288,0.5445232466509062,0.10977337110481586,195000.0,1378.0,0.06296851574212893,0.3703823089599609,0.2524396351405552,0.05234009878976,0.162898199898856,0.0,0.000955445425851,0.0480544226510184,0.2043852124895368,0.0382863453456333,0.0,1
46163,happy_point,-75.15045019999991,39.95566340000002,42101000102,Census Tract 1.02; Philadelphia County; Pennsylvania,2897.0,31.9,0.8853986882982395,0.040386606834656544,0.04004142216085606,0.03589920607525026,94974.0,0.06696582671729376,0.8955102040816326,0.36122448979591837,508100.0,2151.0,0.048625792811839326,0.325573240007673,0.1923347200666155,0.0342279161725725,0.0677877153669084,2.7247837611607143e-06,0.0,0.1765546798706054,0.01578004019601,0.0669537952968052,2.7247837611607143e-06,1
46164,happy_point,-75.13506019999996,39.96556150000003,42101014202,Census Tract 142.02; Philadelphia County; Pennsylvania,2273.0,35.8,0.7809062912450506,0.061152661680598325,0.05719313682358117,0.09370875494940607,127774.0,0.01715794104707435,0.7158308751229105,0.3758099352051836,583300.0,1982.0,0.011916583912611719,0.4732268197195871,0.0023134776524135,0.0400566373552594,0.4196788242885044,0.0182621819632393,0.0,0.0023134776524135,0.0,0.0,0.0182621819632393,1
46165,happy_point,-75.18801819999993,39.954070700000045,42101036902,Census Tract 369.02; Philadelphia County; Pennsylvania,6267.0,19.9,0.5439604276368278,0.13914153502473273,0.23105153981171214,0.05696505505026329,29464.0,0.12781235040689326,0.7492063492063492,0.0,-666666666.0,2630.0,0.11815437688658904,0.2709590366908482,0.0413402829851423,0.2189905984061105,0.4264876501900809,0.0164522443498883,0.0028024400983537,0.0413402829851423,0.0,0.0309486389160156,0.0164263589041573,1
46166,happy_point,-75.19830029999991,39.94916550000004,42101036901,Census Tract 369.01; Philadelphia County; Pennsylvania,25.0,38.6,0.0,1.0,0.0,0.0,-666666666.0,0.0,0.32,,-666666666.0,-666666666.0,,0.1538937432425362,0.4129266738891601,0.0013419560023716,0.0,0.0056818553379603,0.0008059910365513,0.2506029946463449,0.0,0.0,0.0056818553379603,1
46167,happy_point,-75.1690347999999,39.95180020000004,42101000404,Census Tract 4.04; Philadelphia County; Pennsylvania,3130.0,45.9,0.7926517571884985,0.06389776357827476,0.1012779552715655,0.009904153354632588,90980.0,0.06261980830670927,0.7448979591836735,0.44589877835951136,344900.0,2330.0,0.01223529411764706,0.0490850721086774,0.2521137510027204,0.1587505340576172,0.0705642700195312,0.0087788445608956,0.0147150584629603,0.2135225023542131,0.0,0.0705642700195312,0.0,1
46168,happy_point,-75.13432299999994,39.96903720000006,42101015800,Census Tract 158; Philadelphia County; Pennsylvania,6849.0,34.3,0.8158855307344138,0.030953423857497445,0.030953423857497445,0.15345305884070667,123431.0,0.07271134472185721,0.6785845927018062,0.5629037219317133,369200.0,1879.0,0.035303451011503374,0.4137992858886719,0.0077924728393554,0.0951765605381557,0.4415790012904576,0.0119639805385044,2.9972621372767857e-06,0.0077924728393554,0.0,0.0577210017613002,0.0119639805385044,1
46169,happy_point,-75.16529699999995,39.946793500000055,42101001204,Census Tract 12.04; Philadelphia County; Pennsylvania,3134.0,34.2,0.8286534779834078,0.017549457562220806,0.0622208040842374,0.05041480536056158,88583.0,0.12029355456285896,0.8288643533123028,0.27357998957790514,766400.0,1709.0,0.028505747126436783,0.1587949480329241,0.0,0.3844195774623326,0.4504154750279018,0.0056873049054827,0.0006826945713588,0.0,0.0,0.0737004961286272,0.0,1
